target_url,target_url_domain,target_url_top_level_domain,target_url_redirects,final_url,final_url_domain,final_url_top_level_domain,final_url_website,final_url_live,filter,final_url_status_code,final_url_media_type,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,target_url_404_test,source_list,public,scan_date,primary_scan_status,accessibility_scan_status,dns_scan_status,not_found_scan_status,performance_scan_status,robots_txt_scan_status,security_scan_status,sitemap_xml_scan_status,accessibility_violations,ipv6,hostname,cms,login_provider,login,site_search,search_dot_gov,dap,dap_parameters,dap_version,ga_tag_id,third_party_service_domains,third_party_service_urls,third_party_service_count,cookie_domains,viewport_meta_tag,cumulative_layout_shift,largest_contentful_paint,required_links_url,required_links_text,https_enforced,hsts,title,description,keywords,og_title,og_description,og_article_published,og_article_modified,og_image,og_type,og_url,canonical_link,language,language_link,main_element_present,robots_txt_detected,robots_txt_target_url_redirects,robots_txt_final_url,robots_txt_final_url_live,robots_txt_final_url_status_code,robots_txt_final_url_media_type,robots_txt_final_url_filesize,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_detected,sitemap_xml_target_url_redirects,sitemap_xml_final_url,sitemap_xml_final_url_live,sitemap_xml_final_url_status_code,sitemap_xml_final_url_media_type,sitemap_xml_final_url_filesize,sitemap_xml_count,sitemap_xml_pdf_count,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_inpage_css,uswds_usa_class_list,uswds_banner_heres_how,uswds_usa_classes,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,uswds_count,www_scan_status,www_url,www_status_code,www_title
secure.mcc.gov,mcc.gov,gov,,,,,,,True,,,,,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,,"[""pulse""]",,2025-01-15T07:43:29.423Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
assets.mcc.gov,mcc.gov,gov,False,https://assets.mcc.gov/,mcc.gov,gov,assets.mcc.gov,False,True,404.0,text/html,True,True,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,True,"[""pulse""]",,2025-01-15T07:43:44.136Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""language"":1}",True,cloudfront.net,,,,False,,False,,,,,,0.0,,False,0.0,62.59999990463257,,,False,False,404 Not Found,,,,,,,,,,,,,False,True,False,https://assets.mcc.gov/robots.txt,True,200.0,text/plain,78.0,,"[""https://www.mcc.gov/content/plugins/mcc-tools/sitemap/xml-sitemap.php""]",False,False,https://assets.mcc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
mccuatmis-1.mcc.gov,mcc.gov,gov,,,,,,,False,,,,,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,,"[""pulse""]",,2025-01-15T07:57:35.476Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
epo.mcc.gov,mcc.gov,gov,,,,,,,False,,,,,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,,"[""pulse""]",,2025-01-15T08:00:36.471Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
mccmis.mcc.gov,mcc.gov,gov,True,https://mccmis.mcc.gov/Login,mcc.gov,gov,mccmis.mcc.gov,True,False,200.0,text/html,True,True,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,True,"[""pulse""]",,2025-01-15T08:10:00.626Z,completed,completed,completed,completed,completed,completed,completed,completed,,False,,,,,False,,False,,,,,,0.0,"[""mccmis.mcc.gov""]",True,0.0,449.2999997138977,,,True,False,MCC | MIS,,,,,,,,,,,en,,False,False,True,https://mccmis.mcc.gov/Errors/NotFound?aspxerrorpath=/robots.txt,False,404.0,text/html,,,,False,True,https://mccmis.mcc.gov/Errors/NotFound?aspxerrorpath=/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
transfer.mcc.gov,mcc.gov,gov,,,,,,,False,,,,,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,,"[""pulse""]",,2025-01-15T08:09:11.995Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
learn-dev.mcc.gov,mcc.gov,gov,,,,,,,True,,,,,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,,"[""pulse""]",,2025-01-15T08:22:48.290Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
ssrs.mcc.gov,mcc.gov,gov,,,,,,,False,,,,,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,,"[""pulse""]",,2025-01-15T08:23:24.314Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
sftp.mcc.gov,mcc.gov,gov,False,https://sftp.mcc.gov/,mcc.gov,gov,sftp.mcc.gov,True,True,200.0,text/html,True,True,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,False,"[""pulse""]",,2025-01-15T08:56:47.773Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""page-titled"":1}",False,,,,,False,,False,,,,,,0.0,"[""sftp.mcc.gov""]",True,0.1695943006184895,932.5,,,True,False,,,,,,,,,,,,en-us,,False,True,False,https://sftp.mcc.gov/robots.txt,True,200.0,text/html,6030.0,,,True,False,https://sftp.mcc.gov/sitemap.xml,True,200.0,text/html,6030.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
reset-uat.mcc.gov,mcc.gov,gov,False,https://reset-uat.mcc.gov/,mcc.gov,gov,reset-uat.mcc.gov,True,True,200.0,text/html,True,True,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,True,"[""pulse""]",,2025-01-13T22:50:02.292Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""page-titled"":1,""language"":1}",False,,,,"[""\""password\"""",""type=\""password\""""]",False,,False,,,,,,0.0,,False,0.0,207.0,,,True,True,,,,,,,,,,,,,,False,False,False,https://reset-uat.mcc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://reset-uat.mcc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
learn.mcc.gov,mcc.gov,gov,,,,,,,False,,,,,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,,"[""pulse""]",,2025-01-13T23:17:14.303Z,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,dns_resolution_error,dns_resolution_error,completed,dns_resolution_error,,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
data.mcc.gov,mcc.gov,gov,False,https://data.mcc.gov/,mcc.gov,gov,data.mcc.gov,True,False,200.0,text/html,True,True,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,True,"[""pulse""]",,2025-01-13T23:24:07.188Z,completed,completed,completed,completed,completed,completed,completed,completed,"{""contrast"":4,""language"":1,""link-purpose"":1}",False,,WordPress,,,True,,True,"{""agency"":""MCC"",""pua"":""UA-6030327-1"",""sp"":""lookup,locate"",""exts"":""tif,mp3"",""dclink"":""true""}",20171207 v4.0 - Universal Analytics,"UA-6030327-1,UA-33523145-1,G-JDT84B2LM6","[""assets.mcc.gov"",""cdnjs.cloudflare.com"",""code.jquery.com"",""maxcdn.bootstrapcdn.com"",""www.google-analytics.com"",""www.googletagmanager.com"",""www.mcc.gov""]","[""https://assets.mcc.gov/content/themes/mcc-2016/img/sig-rgb-horz-mcccaps.svg.gzip"",""https://assets.mcc.gov/content/themes/mcc-2016/img/sig-rgb-horz-usa.svg.gzip"",""https://assets.mcc.gov/content/themes/mcc-2016/js/Universal-Federated-Analytics-Min.js.gzip"",""https://cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.min.js"",""https://code.jquery.com/jquery-3.5.1.min.js"",""https://maxcdn.bootstrapcdn.com/bootstrap/3.3.5/css/bootstrap.min.css"",""https://maxcdn.bootstrapcdn.com/bootstrap/3.3.5/fonts/glyphicons-halflings-regular.woff2"",""https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css"",""https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/fonts/fontawesome-webfont.woff2"",""https://www.google-analytics.com/analytics.js"",""https://www.google-analytics.com/j/collect"",""https://www.googletagmanager.com/gtag/js"",""https://www.mcc.gov/favicon.ico""]",7.0,"["".data.mcc.gov""]",True,0.0003044533691406,345.5,"[""about"",""fear"",""foia"",""privacy"",""usa.gov""]","[""no fear act"",""foia"",""inspector general"",""privacy policy"",""usa.gov""]",True,True,Open Data Catalog | Millennium Challenge Corporation,"MCC is an independent U.S. Government foreign aid agency based on the principle that aid is most effective when it reinforces good governance, economic freedom and investments in people.","mcc, millennium, milennium, milenium, challenge, mca, poverty, reduction, poor",,,,,,,,,,,False,False,False,https://data.mcc.gov/robots.txt,False,404.0,text/html,,,,False,False,https://data.mcc.gov/sitemap.xml,False,404.0,text/html,,,,0.0,0.0,0.0,0.0,,False,0.0,0.0,0.0,,0.0,0.0,dns_resolution_error,,,
webmail.mcctest.gov,mcctest.gov,gov,,,,,,,True,,,,,Millennium Challenge Corporation,Millennium Challenge Corporation,Executive,,"[""pulse""]",,2025-01-13T23:29:46.626Z,timeout,timeout,completed,timeout,timeout,timeout,completed,timeout,,False,amazonaws.com,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dns_resolution_error,,,
